key	study	reference	method	macro_f1_mean	cutoff	subsample_ref
family	GSE214244.1	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	seurat	0.8743	0.0	100
family	GSE214244.1	whole cortex	scvi_knn	0.8373	0.0	100
family	GSE214244.1	whole cortex	scvi_rf	0.7829	0.0	100
family	GSE214244.1	whole cortex	seurat	0.8345	0.0	100
family	GSE247339.1	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	scvi_knn	0.7919	0.0	100
family	GSE247339.1	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	scvi_rf	0.7921	0.0	100
family	GSE247339.1	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	seurat	0.7866	0.0	100
family	GSE247339.1	Single-cell RNA-seq for all cortical  hippocampal regions 10x	scvi_knn	0.8452	0.0	100
family	GSE247339.1	Single-cell RNA-seq for all cortical  hippocampal regions 10x	scvi_rf	0.8248	0.0	100
family	GSE247339.1	Single-cell RNA-seq for all cortical  hippocampal regions 10x	seurat	0.8597	0.0	100
family	GSE247339.1	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	scvi_knn	0.7955	0.0	100
family	GSE247339.1	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	scvi_rf	0.6643	0.0	100
family	GSE247339.1	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	seurat	0.7443	0.0	100
family	GSE247339.1	whole cortex	scvi_knn	0.6718	0.0	100
family	GSE247339.1	whole cortex	scvi_rf	0.6812	0.0	100
family	GSE247339.1	whole cortex	seurat	0.6596	0.0	100
family	GSE247339.2	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	scvi_knn	0.861	0.0	100
family	GSE247339.2	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	scvi_rf	0.806	0.0	100
family	GSE247339.2	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	seurat	0.845	0.0	100
