"contrast"	"odds.ratio"	"SE"	"df"	"null"	"z.ratio"	"p.value"
"(Whole Taxonomy / MTG Seattle Alzheimers Disease Atlas SEA-AD seurat) / Dissection Primary auditory cortexA1 scvi"	0.773027767684894	0.00786916268694	Inf	1	-25.2896674458908	0
"(Whole Taxonomy / MTG Seattle Alzheimers Disease Atlas SEA-AD seurat) / Dissection Primary somatosensory cortex S1 scvi"	0.753454104091347	0.00771442735856474	Inf	1	-27.6486098642866	0
"(Whole Taxonomy / MTG Seattle Alzheimers Disease Atlas SEA-AD seurat) / Dissection Primary visual cortexV1 scvi"	1.0090230622388	0.0101410420142036	Inf	1	0.893759059983454	0.999997418964291
"(Whole Taxonomy / MTG Seattle Alzheimers Disease Atlas SEA-AD seurat) / (Human Multiple Cortical Areas SMART-seq scvi)"	1.95909813964937	0.0189585730416487	Inf	1	69.4916547722923	0
"(Whole Taxonomy / MTG Seattle Alzheimers Disease Atlas SEA-AD seurat) / whole cortex scvi"	0.680337585737169	0.00702088672120243	Inf	1	-37.3233498830322	0
"(Whole Taxonomy / MTG Seattle Alzheimers Disease Atlas SEA-AD seurat) / (Whole Taxonomy / DLPFC Seattle Alzheimers Disease Atlas SEA-AD scvi)"	0.823484158210165	0.0102743822401446	Inf	1	-15.5658657315305	0
"(Whole Taxonomy / MTG Seattle Alzheimers Disease Atlas SEA-AD seurat) / (Whole Taxonomy / MTG Seattle Alzheimers Disease Atlas SEA-AD scvi)"	0.673527402239005	0.00689665445666361	Inf	1	-38.5978368604692	0
"Dissection Angular gyrus AnG scvi / Dissection Anterior cingulate cortex ACC scvi"	1.22001560907056	0.0107258692193183	Inf	1	22.6197761464051	0
"Dissection Angular gyrus AnG scvi / Dissection Dorsolateral prefrontal cortex DFC scvi"	2.69265276015991	0.0294790304487657	Inf	1	90.4760045843277	0
"Dissection Angular gyrus AnG scvi / Dissection Primary auditory cortexA1 scvi"	1.05590585150507	0.00932960767005163	Inf	1	6.15677008218237	1.4038501561231e-07
"Dissection Angular gyrus AnG scvi / Dissection Primary somatosensory cortex S1 scvi"	1.02916949507933	0.0091693604952763	Inf	1	3.22714409441689	0.129728306692722
"Dissection Angular gyrus AnG scvi / Dissection Primary visual cortexV1 scvi"	1.37826013535364	0.0120355683935405	Inf	1	36.7391107176996	0
"Dissection Angular gyrus AnG scvi / (Human Multiple Cortical Areas SMART-seq scvi)"	2.67600114226645	0.0223775030194016	Inf	1	117.709781696645	0
"Dissection Angular gyrus AnG scvi / whole cortex scvi"	0.929297067723878	0.00835252316222288	Inf	1	-8.15830106510739	3.0186964039558e-13
"Dissection Angular gyrus AnG scvi / (Whole Taxonomy / DLPFC Seattle Alzheimers Disease Atlas SEA-AD scvi)"	1.12482601224006	0.0128192838250617	Inf	1	10.3212823592449	1.98396854500515e-13
"Dissection Angular gyrus AnG scvi / (Whole Taxonomy / MTG Seattle Alzheimers Disease Atlas SEA-AD scvi)"	0.919994798250336	0.00818718365566974	Inf	1	-9.37023663509759	1.90736315630602e-13
"Dissection Anterior cingulate cortex ACC scvi / Dissection Dorsolateral prefrontal cortex DFC scvi"	2.20706418847481	0.023773252242056	Inf	1	73.496528968785	0
"Dissection Anterior cingulate cortex ACC scvi / Dissection Primary auditory cortexA1 scvi"	0.865485526295426	0.00763372501231241	Inf	1	-16.3789033419801	0
"Dissection Anterior cingulate cortex ACC scvi / Dissection Primary somatosensory cortex S1 scvi"	0.84357076042935	0.00750224103153943	Inf	1	-19.1277619038916	0
"Dissection Anterior cingulate cortex ACC scvi / Dissection Primary visual cortexV1 scvi"	1.12970696858841	0.00983361304509177	Inf	1	14.0108337929625	0
"Dissection Anterior cingulate cortex ACC scvi / (Human Multiple Cortical Areas SMART-seq scvi)"	2.19341549597476	0.0182394192028717	Inf	1	94.4569524041466	0
"Dissection Anterior cingulate cortex ACC scvi / whole cortex scvi"	0.761709162419523	0.00683591582361971	Inf	1	-30.3295099559033	0
"Dissection Anterior cingulate cortex ACC scvi / (Whole Taxonomy / DLPFC Seattle Alzheimers Disease Atlas SEA-AD scvi)"	0.921976738557458	0.0103607632252872	Inf	1	-7.22891176642451	9.25910459415036e-11
